"web_scraper_order","web_scraper_start_url","category-link-0","pagination-selector","data-page-selector","name","price","category-","brand","code","availability","description","tag_1","tag_2","tag_3","tag_4","tag_5","image_12","image_13","image_14","image_15","category_id","Automatic Machine",1,"formatted_price",
"1770381180-62","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/swing-gate-full-metal/jual-portal-otomatis","Swing Gate Full Metal","Rp.18,750,000","Automatic Gate","Turnstile","Turnstile","In Stock","Spesifikasi:Model: Flap Barrier Gate Steel 1 ChannelJalur: 1 ChannelProsesor: Single ChipBahan : Baja Anti Karat 304Badan Blok : Pipa Stainless SteelKetebalan: Penutup 1,5 Mm, Casing 1,2 mmKontrol Mesin Rem: Motherboard Suara Visual DomestikFungsi Utama : Untuk Mengendalikan Lalu LintasS uhu Lingkungan : Minus 30 - Diatas 60 Derajat Celcius Tegangan Nol : 220V ACTegangan Operasi: 24V5AFrekuensi: 50HZBerat : 60kg/unitMode Aman: Reset OtomatisUkuran: P120cm x L28cm x T98cm","Swing Gate Full Metal","swing barrier","turnstile gate","swing barrier single",,"https://alatparkir.info/image/cache/catalog/turnstile/Swing%20Gate%20Full%20Metal/Swing%20Gate%20Full%20Metal%20-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/Swing%20Gate%20Full%20Metal/Swing%20Gate%20Full%20Metal%20-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/Swing%20Gate%20Full%20Metal/Swing%20Gate%20Full%20Metal%20-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/Swing%20Gate%20Full%20Metal/Swing%20Gate%20Full%20Metal%20-600x691.webp",5,,,18750000,5
"1770381183-63","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/swing-gate-besi-2-line/jual-portal-otomatis","Swing Gate Besi 2 Line","Rp.29,500,000","Automatic Gate","Turnstile","Turnstile","In Stock","Fungsi:Flap Barrier Gate Pintu Gerbang Masuk Bahan Besi Model Swing 1 Line Untuk mengontrol keluar masuk orang ataupun barang.
Keyword : Swing BarrierApplication : Security Access Control ManagementPass speed : 30-40 Persons/minPassage width : 1200mmMaterial : 304 Stainless SteelSwip Access Card/ID Card : custom madeScan Code/Scan Code and Charging : custom madeFace/Fingerprint Recognition : custom madeTicketing System /Infrared Induction : custom madeDirection: Bi-direction Adjustable
SpesifikasiSize : 1400*250*980mmThe Pedestrian Width:550mmMaterial : SUS304The Block Body : Stainless Steel PipeThickness : Cover 1.5 Mm, Case 1.2mmBrake Machine Control : Domestic Visual Voice MotherboardMain Function : To Control The TrafficThe Environment Temperature : Minus 30 - Above 60 Degrees Celsius Zero Voltage : 220V ACOperating Voltage : 24V5AFrequency : 50HZWeight : 60kgSafe Mode : Automatic Reset","Swing Gate Full Metal","swing barrier","turnstile gate","swing barrier single",,"https://alatparkir.info/image/cache/catalog/Doorlock/Swing%20Gate%20Besi/Iron%20Swing%20Barrier%202%20Line-600x691.webp","https://alatparkir.info/image/cache/catalog/Doorlock/Swing%20Gate%20Besi/Iron%20Swing%20Barrier%202%20Line-600x691.webp","https://alatparkir.info/image/cache/catalog/Doorlock/Swing%20Gate%20Besi/Iron%20Swing%20Barrier%202%20Line-600x691.webp","https://alatparkir.info/image/cache/catalog/Doorlock/Swing%20Gate%20Besi/Iron%20Swing%20Barrier%202%20Line-600x691.webp",5,,,29500000,5
"1770381185-64","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/jual-mesin-gerbang-otomatis-3000kg/jual-portal-otomatis","Sliding Gate Servo AP220V 3 Phase 3000Kg","Rp.7,980,000","Automatic Gate","AP-SG","Workshop","In Stock","Spesifikasi :Working Voltage : 220VACMotor Power : 1.3KWMotor Speed : 1400r/minRunning Speed : 10m/minCapasitas : 3000KgWorking Temperature : -40°C - +60°C
Kelengkapan produk :- 1 unit Motor AC Kap. 3000Kg- 2 pcs Remote control- 4 btg gear rack (4meter)- Sensor On Off Switch- Kunci manual- Dudukan mesin + dynabolt- Buku panduan","mesin gerbang otomatis","mesin pagar otomatis","sliding gate bandung","sliding gate murah","mesin kanopi otomatis","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Servo/pintu_gerbang_otomatis-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Servo/pintu_gerbang_otomatis-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Servo/pintu_gerbang_otomatis-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Servo/pintu_gerbang_otomatis-600x691.webp",5,,,7980000,5
"1770381188-65","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/jual-mesin-pagar-otomatis-murah-bandung/jual-portal-otomatis","Sliding Gate Magnetic AP1000 AC",,"Automatic Gate","AP-SG","Workshop","In Stock","Spesifikasi :Working Voltage : 110VAC/60HzMotor Power : 370WStarting Current : 1A-10AMotor Speed : 1400r/minRunning Speed : 12m/minCapasitas : 1000Kg / 1300Kg / 1600KgWorking Temperature : -40°C - +60°C
Kelengkapan :- 1 unit Motor AC Kap. 1000Kg / 1300Kg / 1600Kg- 2 pcs Remote control- 4 btg gear rack (4meter)- Sensor On Off Switch- Kunci manual- Dudukan mesin + dynabolt- Buku panduan","mesin gerbang otomatis","mesin pagar otomatis","sliding gate bandung","sliding gate murah","mesin kanopi otomatis","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Magnetic/sliding_gate_murah_bandung-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Magnetic/sliding_gate_murah_bandung-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Magnetic/sliding_gate_murah_bandung-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Magnetic/sliding_gate_murah_bandung-600x691.webp",5,,,0,5
"1770381191-66","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/jual-mesin-gerbang-sliding-gate-bandung/jual-portal-otomatis","Sliding Gate DC 36V AP 3500Kg",,"Automatic Gate","AP-SG","Workshop","In Stock","Spesifikasi :Max Weight : 3500Kg / 4500KgWorking Voltage Input : AC220V/110V ± 10%, Output : DC36VFuse : DC 40ARemote Control Range Open Space : 30~90 metersWorking Temperature : -30°C ~ +65°CTorque : 80 N.m (3500Kg) / 107 N.m (4500Kg)Relative Humidity : <60%Related Power : 450W (3500Kg) / 600W (4500Kg)Protection Class : IP65Limit Switch : Spring","mesin gerbang otomatis","mesin pagar otomatis","sliding gate bandung","sliding gate murah","mesin kanopi otomatis","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/dc36v/mesin_gerbang_3500kg_bandung_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/dc36v/mesin_gerbang_3500kg_bandung_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/dc36v/mesin_gerbang_3500kg_bandung_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/dc36v/mesin_gerbang_3500kg_bandung_murah-600x691.webp",5,,,0,5
"1770381193-67","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/jual-sliding-gate-murah-bandung/jual-portal-otomatis","Sliding Gate DC 24V AP 1500Kg",,"Automatic Gate","AP-SG","Workshop","In Stock","Spesifikasi :Output voltage : DC 24VPower : 180WTorque : 29NmWeight for gate : 1000kg-3000kgRotate speed : 1500r/min/2500r/minOperating speed : 12m/minWorking temperature : -45C~75CN.W. : 13kg-18kgCertificate : CCC CENoise : 50DB","mesin gerbang otomatis","mesin pagar otomatis","sliding gate bandung","sliding gate murah","mesin kanopi otomatis","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Sliding%20Gate%20DC/sliding_gate_dc_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Sliding%20Gate%20DC/sliding_gate_dc_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Sliding%20Gate%20DC/sliding_gate_dc_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Sliding%20Gate%20DC/sliding_gate_dc_murah-600x691.webp",5,,,0,5
"1770381196-68","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/mesin-gerbang-otomatis-came-1800kg/jual-portal-otomatis","Sliding Gate Came Italy 800 Kg",,"Automatic Gate","AP-SG","Workshop","In Stock","Spesifikasi :Energy Input : 230VPower (W) : 520WSpeed	18 CM/SForce (N) : 800Suitable for Intensive Use : NoIP Protection Class : IP44Operating Temperature (°C MIN/MAX) : (-20) ÷ (+50)Max. Supported Gate Weight : 800 /  KilogramMax. Supported Gate Length : 15 / 20 Metre","mesin gerbang otomatis","mesin pagar otomatis","sliding gate bandung","sliding gate murah","mesin kanopi otomatis","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Came/mesin_pintu_gerbang_came_italy-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Came/mesin_pintu_gerbang_came_italy-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Came/mesin_pintu_gerbang_came_italy-600x691.webp","https://alatparkir.info/image/cache/catalog/Sliding%20Gate/Came/mesin_pintu_gerbang_came_italy-600x691.webp",5,,,0,5
"1770381198-69","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/mesin-gerbang-otomatis-bft/jual-portal-otomatis","Sliding Gate BFT SP3500 Pintu Pagar Otomatis",,"Automatic Gate","BFT","BFT","In Stock","Sliding Gate BFT SP3500 Pintu Pagar OtomatisCocok untuk pintu gerbang, pintu gudang, pintu pabrik dengan kapasitas berat sampai dengan 3500kgAuto sliding gate BFT SP 3500 (3500 kg) 380 V Three Phase Italypaket komplit :-Motor SP 3500, 380V ,built in control unit 1 set-Iron rack 30×30 =4 meter-Mitto 2ch transmitter 433mhz =2 pc-push button 1 pc-Blinker with built in antena 230V 1 pc-wall mounting for blinker 1 pc-Photocell sensor 1 set","bft","sliding gate bft","pintu pagar otomatis bft","mesin pagar bft",,"https://alatparkir.info/image/cache/catalog/Gallery/jual_pagar_otomatis_bft_sp3500_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/jual_pagar_otomatis_bft_sp3500_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/jual_pagar_otomatis_bft_sp3500_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/jual_pagar_otomatis_bft_sp3500_murah-600x691.jpg",5,,,0,5
"1770381201-70","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/sliding-gate-bft-icaro-italy/jual-portal-otomatis","Sliding Gate BFT ICARO VELOCE SMART AC A1000 Pintu Pagar Otomatis",,"Automatic Gate","BFT","BFT","In Stock","Sliding Gate BFT ICARO VELOCE SMART AC A Pintu Pagar OtomatisCocok untuk mesin gerbang pabrik atau industrial useAuto sliding gate BFT Icaro 2000 kg Italypaket komplit :-Motor Icaro 2000 kg 230V ,built in control unit 1 set-Iron rack 22×22 M4 =8 meter-Mitto 2ch transmitter 433mhz =2 pc-push button 1 pc-Blinker with built in antena 230V 1 pc-wall mounting for blinker 1 pc-Photocell sensor 1 set","bft","sliding gate bft","pintu pagar otomatis bft","mesin pagar bft",,"https://alatparkir.info/image/cache/catalog/Gallery/pasang_sliding_gate_bft_icaro_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_sliding_gate_bft_icaro_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_sliding_gate_bft_icaro_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_sliding_gate_bft_icaro_murah_bandung-600x691.jpg",5,,,0,5
"1770381203-71","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-portal-otomatis","https://alatparkir.info/jual-portal-otomatis?page=4","https://alatparkir.info/jual-bft-deimos-600-bft/jual-portal-otomatis","Sliding Gate BFT Deimos Ultra BT A600 Pintu Pagar Otomatis",,"Automatic Gate","BFT","BFT","In Stock","BFT DEIMOS 600 kg Mesin Pagar Otomatis produk Italy AsliPower Supply 220 /230 vOperating Voltage 24 Volt DCPower input 70 watt hemat listrikMax Speed 12 mtr / menitWorking Temperature 20c ~55 cSlow down functionMagnetic limit switchFrequency of use IntensiveProtection level IP 44Slow down saat mendekati akhir buka tutupBisa di set auto closeDisertai buka panduan pemasanganHarga Belum Termasuk :- Kabel Power Ac- Pipa Safety- Jasa Installasi dan Pondasi- Akomodasi Perjalanan","bft","sliding gate bft","pintu pagar otomatis bft","mesin pagar bft",,,,,,5,,,0,5
